name,code,amount_grant,budget_grant_reg,budget_reg,budget2youth_reg,volontiers_amount_reg,area,uniq_users,budget_marketing,marketing_units,population,k_means_clust
Рязанская область,62,36,1889218,102945197074,3708060.0,547256,ЦФО,83220,2215108,14190,4145567.0,0
Самарская область,63,21,132857334,317387349695,362081057.0,980334,ПФО,188458,5787732,1421,11635517.0,3
Саратовская область,64,59,18379614,187964967418,80991399.0,954757,ПФО,133967,200000,14079,9344391.0,0
Сахалинская область,65,89,37410824,214725619864,201809516.0,453940,ДФО,91615,7930000,95337,1400393.0,0
Свердловская область,66,364,168753447,451529671589,846148576.0,4249668,УФО,328523,1940000,17112,14323231.0,3
Смоленская область,67,33,7954176,72157814562,30033327.0,516296,ЦФО,26430,340000,4603,3241805.0,0
Тамбовская область,68,284,54894456,75010717768,119468876.0,959479,ЦФО,3711,0,11935,3301975.0,3
Тверская область,69,6,4248900,116708292322,125860318.0,648450,ЦФО,59100,1270981,4390,4751603.0,0
Томская область,70,103,22186323,111729633083,54981795.0,460993,СФО,91452,1679726,4459,3794105.0,0
Тульская область,71,72,6953162,140125459005,537671750.0,1104626,ЦФО,31913,22904,7635,5521143.0,2
Тюменская область,72,99,19173737,250833738246,478154786.0,1975023,УФО,202000,29583076,32031,3546345.0,3
Ульяновская область,73,9,8778700,98574229858,48242677.0,229281,ПФО,1509,0,0,4605730.0,0
Челябинская область,74,118,29205785,280169265329,299216798.0,1589575,УФО,1813,0,1104,12410229.0,0
Забайкальский край,75,10,14667755,126212888458,1188011626.0,572035,ДФО,661850,0,1487,4032986.0,1
Ярославская область,76,47,4655307,122054814791,166725953.0,1141615,ЦФО,171270,0,0,4620718.0,3
Москва,77,180,361266061,3277026641770,1414549295.0,4921352,ЦФО,1151954,0,40202,36457524.0,0
Санкт-Петербург,78,1225,1295756424,1110050709639,1506908830.0,3869068,СЗФО,12375112,6551727,424046,15395826.0,3
Еврейская автономная область,79,23,2650000,20937842865,7904956.0,83173,ДФО,28632,1200,1130,552023.0,0
Ханты-Мансийский автономный округ - Югра,86,108,35526887,355498187679,228303502.0,1175536,УФО,161434,0,3015,5050438.0,0
Чукотский автономный округ,87,29,74598455,53163321900,74598455.0,2396,ДФО,2430,46137,2272,171281.0,3
Ямало-Ненецкий автономный округ,89,259,77188482,360598934144,804348547.0,530431,УФО,74951,245000,6889,1714566.0,3
Республика Крым,91,84,141021668,276562554460,401247104.0,1315462,ЮФО,5241,3700000,3388,0.0,3
Севастополь,92,66,10498680,63087167292,68486810.0,596730,ЮФО,6002,1725478,3999,0.0,0
Ненецкий автономный округ,83,15,5560199,34100803977,14012804.0,33657,СЗФО,23183,307600,3794,136163.0,0
